sample_id,object_id,sensor,label,pred,prob_failure,prob_success
000_000000_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,1,0.07380242645740509,0.9261975288391113
000_000001_muffin,muffin,gelsightA,1,1,0.27863478660583496,0.7213652729988098
000_000002_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,1,0.11277449876070023,0.8872255086898804
000_000003_monster_truck,monster_truck,gelsightA,0,0,0.996823787689209,0.00317619857378304
000_000004_lime,lime,gelsightA,0,0,0.9709623456001282,0.029037659987807274
000_000005_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9621889591217041,0.037811052054166794
000_000006_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9686919450759888,0.03130808472633362
000_000007_lime,lime,gelsightA,0,1,0.3689671456813812,0.6310328841209412
000_000008_lime,lime,gelsightA,1,1,0.007777555845677853,0.9922224879264832
000_000009_red_apple,red_apple,gelsightA,0,0,0.9573307633399963,0.04266927018761635
000_000010_lime,lime,gelsightA,0,0,0.8549025058746338,0.14509740471839905
000_000011_lemon,lemon,gelsightA,1,1,0.29137155413627625,0.7086284160614014
000_000012_lemon,lemon,gelsightA,1,1,0.0027645800728350878,0.9972354769706726
000_000013_lime,lime,gelsightA,1,1,0.06650391966104507,0.9334961175918579
000_000014_ponds_dry_skin_cream,ponds_dry_skin_cream,gelsightA,1,1,0.020634004846215248,0.9793660640716553
000_000015_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.972569465637207,0.027430513873696327
000_000016_onion,onion,gelsightA,0,0,0.9777758717536926,0.02222408913075924
000_000017_mesh_container,mesh_container,gelsightA,0,0,0.8921337723731995,0.10786627233028412
000_000018_potato,potato,gelsightA,0,0,0.9493865966796875,0.050613369792699814
000_000019_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9443234205245972,0.05567660182714462
000_000020_red_apple,red_apple,gelsightA,0,0,0.9696252346038818,0.030374746769666672
000_000021_potato,potato,gelsightA,1,1,0.37852832674980164,0.6214717030525208
000_000022_onion,onion,gelsightA,1,1,0.15244144201278687,0.8475585579872131
000_000023_lime,lime,gelsightA,0,0,0.5256557464599609,0.47434425354003906
000_000024_lime,lime,gelsightA,0,0,0.5969381928443909,0.4030618369579315
000_000025_potato,potato,gelsightA,1,1,0.42259639501571655,0.5774036645889282
000_000026_small_coffe_cup,small_coffe_cup,gelsightA,1,1,0.003164844587445259,0.9968351721763611
000_000027_small_coffe_cup,small_coffe_cup,gelsightA,1,1,0.01486002653837204,0.9851400256156921
000_000028_lime,lime,gelsightA,0,0,0.9102244973182678,0.08977551013231277
000_000029_mesh_container,mesh_container,gelsightA,1,1,0.2051137238740921,0.7948862910270691
000_000030_potato,potato,gelsightA,0,0,0.99151611328125,0.008483863435685635
000_000031_muffin,muffin,gelsightA,0,0,0.608448326587677,0.3915516138076782
000_000032_red_apple,red_apple,gelsightA,1,1,0.24777323007583618,0.7522267699241638
000_000033_ponds_dry_skin_cream,ponds_dry_skin_cream,gelsightA,0,0,0.9896758198738098,0.010324225760996342
000_000034_lemon,lemon,gelsightA,0,0,0.8228864073753357,0.17711354792118073
000_000035_small_coffe_cup,small_coffe_cup,gelsightA,1,1,0.0010310078505426645,0.9989689588546753
000_000036_potato,potato,gelsightA,1,1,0.3461155295372009,0.6538844704627991
000_000037_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,1,0.3196728825569153,0.6803271174430847
000_000038_mesh_container,mesh_container,gelsightA,0,0,0.951155960559845,0.04884397238492966
000_000039_red_apple,red_apple,gelsightA,0,0,0.7758388519287109,0.22416114807128906
000_000042_potato,potato,gelsightA,1,1,0.357275128364563,0.6427248120307922
000_000044_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,1,0.21279434859752655,0.7872056365013123
000_000046_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9960300326347351,0.003969902638345957
000_000047_lime,lime,gelsightA,1,1,0.15417852997779846,0.8458214998245239
000_000048_potato,potato,gelsightA,0,0,0.994548499584198,0.005451505538076162
000_000049_muffin,muffin,gelsightA,1,1,0.02812102995812893,0.9718789458274841
000_000050_pig,pig,gelsightA,1,1,0.020927459001541138,0.9790725111961365
000_000051_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,1,0.025851771235466003,0.9741482734680176
000_000052_muffin,muffin,gelsightA,0,0,0.542443037033081,0.45755693316459656
000_000053_lime,lime,gelsightA,1,1,0.036820825189352036,0.9631792306900024
000_000054_red_apple,red_apple,gelsightA,0,1,0.47030267119407654,0.5296972393989563
000_000055_lemon,lemon,gelsightA,0,0,0.9983229041099548,0.0016770923975855112
000_000056_onion,onion,gelsightA,1,1,0.14242404699325562,0.8575759530067444
000_000057_muffin,muffin,gelsightA,1,1,0.17533867061138153,0.824661374092102
000_000058_red_apple,red_apple,gelsightA,0,0,0.9737858176231384,0.026214150711894035
000_000059_potato,potato,gelsightA,0,0,0.5008205771446228,0.499179482460022
000_000060_candle_in_glass,candle_in_glass,gelsightA,0,0,0.9704492688179016,0.029550733044743538
000_000061_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,1,0.06951112300157547,0.9304889440536499
000_000063_lemon,lemon,gelsightA,0,0,0.5750339031219482,0.4249661862850189
000_000065_red_apple,red_apple,gelsightA,0,0,0.9931300282478333,0.006869910750538111
000_000066_red_apple,red_apple,gelsightA,0,0,0.688941240310669,0.3110587000846863
000_000067_potato,potato,gelsightA,0,0,0.8299425840377808,0.17005746066570282
000_000068_muffin,muffin,gelsightA,1,1,0.08927563577890396,0.9107243418693542
000_000069_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9679665565490723,0.03203348442912102
000_000070_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9685568809509277,0.031443167477846146
000_000071_muffin,muffin,gelsightA,0,1,0.44000232219696045,0.5599977374076843
000_000072_webcam_box,webcam_box,gelsightA,1,1,0.0004859586770180613,0.999514102935791
000_000073_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,1,0.24847343564033508,0.7515265941619873
000_000074_red_apple,red_apple,gelsightA,1,1,0.27417853474617004,0.7258214950561523
000_000075_red_apple,red_apple,gelsightA,0,0,0.6245698928833008,0.37543004751205444
000_000077_lemon,lemon,gelsightA,0,0,0.9759148955345154,0.024085136130452156
000_000078_lime,lime,gelsightA,1,1,0.04880126938223839,0.9511986970901489
000_000079_red_apple,red_apple,gelsightA,0,0,0.5238059759140015,0.47619399428367615
000_000080_potato,potato,gelsightA,0,0,0.843117356300354,0.156882643699646
000_000081_lemon,lemon,gelsightA,1,1,0.4718572497367859,0.5281428098678589
000_000083_red_apple,red_apple,gelsightA,1,1,0.20443843305110931,0.7955615520477295
000_000084_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9433803558349609,0.056619610637426376
000_000085_onion,onion,gelsightA,1,1,0.13858886063098907,0.8614111542701721
000_000086_potato,potato,gelsightA,0,0,0.9995051622390747,0.0004948264686390758
000_000087_small_coffe_cup,small_coffe_cup,gelsightA,1,1,0.008597337640821934,0.9914026856422424
000_000088_small_coffe_cup,small_coffe_cup,gelsightA,1,1,0.15069614350795746,0.8493038415908813
000_000089_potato,potato,gelsightA,0,0,0.946785032749176,0.05321500077843666
000_000090_lemon,lemon,gelsightA,0,0,0.9600504636764526,0.03994954749941826
