sample_id,object_id,sensor,label,pred,prob_failure,prob_success
000_000000_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,0,0.5981282591819763,0.4018716812133789
000_000001_muffin,muffin,gelsightA,1,0,0.6211577653884888,0.37884223461151123
000_000002_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,1,0.0475144237279892,0.9524855613708496
000_000003_monster_truck,monster_truck,gelsightA,0,0,0.8643538951873779,0.13564608991146088
000_000004_lime,lime,gelsightA,0,0,0.9705815315246582,0.029418502002954483
000_000005_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9881882071495056,0.011811846867203712
000_000006_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9808365106582642,0.01916356384754181
000_000007_lime,lime,gelsightA,0,0,0.8977989554405212,0.10220099240541458
000_000008_lime,lime,gelsightA,1,1,0.14597246050834656,0.8540275692939758
000_000009_red_apple,red_apple,gelsightA,0,0,0.6837067604064941,0.31629323959350586
000_000010_lime,lime,gelsightA,0,0,0.971267819404602,0.028732191771268845
000_000011_lemon,lemon,gelsightA,1,1,0.2443811446428299,0.7556188702583313
000_000012_lemon,lemon,gelsightA,1,1,0.021437473595142365,0.9785625338554382
000_000013_lime,lime,gelsightA,1,1,0.016412390395998955,0.9835876822471619
000_000014_ponds_dry_skin_cream,ponds_dry_skin_cream,gelsightA,1,1,0.008635074831545353,0.9913649559020996
000_000015_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9353576302528381,0.06464235484600067
000_000016_onion,onion,gelsightA,0,0,0.6636810898780823,0.33631888031959534
000_000017_mesh_container,mesh_container,gelsightA,0,0,0.7549216747283936,0.24507831037044525
000_000018_potato,potato,gelsightA,0,0,0.6554272770881653,0.3445727229118347
000_000019_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9409556984901428,0.059044286608695984
000_000020_red_apple,red_apple,gelsightA,0,0,0.607032835483551,0.392967164516449
000_000021_potato,potato,gelsightA,1,0,0.5342084169387817,0.46579158306121826
000_000022_onion,onion,gelsightA,1,1,0.4596771001815796,0.5403228998184204
000_000023_lime,lime,gelsightA,0,0,0.954963743686676,0.045036282390356064
000_000024_lime,lime,gelsightA,0,0,0.916401743888855,0.08359822630882263
000_000025_potato,potato,gelsightA,1,1,0.3495468199253082,0.6504532098770142
000_000026_small_coffe_cup,small_coffe_cup,gelsightA,1,1,0.001047494006343186,0.9989525079727173
000_000027_small_coffe_cup,small_coffe_cup,gelsightA,1,1,0.018583321943879128,0.9814167022705078
000_000028_lime,lime,gelsightA,0,0,0.9684751033782959,0.031524837017059326
000_000029_mesh_container,mesh_container,gelsightA,1,1,0.03677664324641228,0.9632233381271362
000_000030_potato,potato,gelsightA,0,0,0.8890578746795654,0.1109420508146286
000_000031_muffin,muffin,gelsightA,0,0,0.6050231456756592,0.3949768543243408
000_000032_red_apple,red_apple,gelsightA,1,1,0.08679329603910446,0.9132066965103149
000_000033_ponds_dry_skin_cream,ponds_dry_skin_cream,gelsightA,0,0,0.9588004946708679,0.0411994643509388
000_000034_lemon,lemon,gelsightA,0,0,0.8556988835334778,0.14430108666419983
000_000035_small_coffe_cup,small_coffe_cup,gelsightA,1,1,0.01402848307043314,0.9859715104103088
000_000036_potato,potato,gelsightA,1,1,0.24878917634487152,0.7512108087539673
000_000037_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,0,0.5284370183944702,0.4715629518032074
000_000038_mesh_container,mesh_container,gelsightA,0,0,0.5697813034057617,0.4302186965942383
000_000039_red_apple,red_apple,gelsightA,0,0,0.7708441615104675,0.22915582358837128
000_000042_potato,potato,gelsightA,1,1,0.014154976233839989,0.9858450889587402
000_000044_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,0,0.6639381051063538,0.33606192469596863
000_000046_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9906429648399353,0.009357062168419361
000_000047_lime,lime,gelsightA,1,0,0.6420803666114807,0.3579196333885193
000_000048_potato,potato,gelsightA,0,0,0.8591578602790833,0.14084209501743317
000_000049_muffin,muffin,gelsightA,1,1,0.15780507028102875,0.8421949744224548
000_000050_pig,pig,gelsightA,1,0,0.6192618012428284,0.38073816895484924
000_000051_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,0,0.6387999653816223,0.3612000346183777
000_000052_muffin,muffin,gelsightA,0,0,0.5222834944725037,0.4777165353298187
000_000053_lime,lime,gelsightA,1,0,0.5626278519630432,0.4373721182346344
000_000054_red_apple,red_apple,gelsightA,0,1,0.32062917947769165,0.6793707609176636
000_000055_lemon,lemon,gelsightA,0,0,0.9465034008026123,0.053496599197387695
000_000056_onion,onion,gelsightA,1,1,0.0763496533036232,0.923650324344635
000_000057_muffin,muffin,gelsightA,1,1,0.3672848641872406,0.632715106010437
000_000058_red_apple,red_apple,gelsightA,0,0,0.6793028712272644,0.3206971287727356
000_000059_potato,potato,gelsightA,0,0,0.6519412994384766,0.34805870056152344
000_000060_candle_in_glass,candle_in_glass,gelsightA,0,0,0.9786087870597839,0.021391186863183975
000_000061_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,0,0.6871880888938904,0.3128119111061096
000_000063_lemon,lemon,gelsightA,0,1,0.27285242080688477,0.7271475791931152
000_000065_red_apple,red_apple,gelsightA,0,0,0.9666599035263062,0.033340081572532654
000_000066_red_apple,red_apple,gelsightA,0,0,0.6518333554267883,0.3481666147708893
000_000067_potato,potato,gelsightA,0,1,0.39517655968666077,0.6048234701156616
000_000068_muffin,muffin,gelsightA,1,1,0.22411789000034332,0.7758821249008179
000_000069_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9882627129554749,0.011737348511815071
000_000070_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9761561751365662,0.023843778297305107
000_000071_muffin,muffin,gelsightA,0,1,0.4999193847179413,0.5000805854797363
000_000072_webcam_box,webcam_box,gelsightA,1,1,0.019946729764342308,0.9800532460212708
000_000073_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,1,0.41829800605773926,0.5817020535469055
000_000074_red_apple,red_apple,gelsightA,1,1,0.08193472772836685,0.9180652499198914
000_000075_red_apple,red_apple,gelsightA,0,1,0.20672568678855896,0.7932743430137634
000_000077_lemon,lemon,gelsightA,0,0,0.939113199710846,0.06088682636618614
000_000078_lime,lime,gelsightA,1,0,0.5060527920722961,0.49394726753234863
000_000079_red_apple,red_apple,gelsightA,0,1,0.27013230323791504,0.729867696762085
000_000080_potato,potato,gelsightA,0,1,0.4707295894622803,0.5292704105377197
000_000081_lemon,lemon,gelsightA,1,0,0.719829261302948,0.2801707983016968
000_000083_red_apple,red_apple,gelsightA,1,1,0.303983211517334,0.696016788482666
000_000084_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9236114025115967,0.07638860493898392
000_000085_onion,onion,gelsightA,1,1,0.09922207146883011,0.9007779359817505
000_000086_potato,potato,gelsightA,0,0,0.9820610284805298,0.017938947305083275
000_000087_small_coffe_cup,small_coffe_cup,gelsightA,1,1,0.002407853491604328,0.9975922107696533
000_000088_small_coffe_cup,small_coffe_cup,gelsightA,1,1,0.34915390610694885,0.6508460640907288
000_000089_potato,potato,gelsightA,0,0,0.6261952519416809,0.3738047182559967
000_000090_lemon,lemon,gelsightA,0,0,0.9180031418800354,0.08199682086706161
000_000091_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,0,0.7607439756393433,0.23925602436065674
000_000092_ponds_dry_skin_cream,ponds_dry_skin_cream,gelsightA,0,0,0.674716591835022,0.3252834677696228
000_000093_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9103812575340271,0.08961869776248932
000_000095_plastic_whale,plastic_whale,gelsightA,1,1,0.005540046375244856,0.9944599866867065
000_000096_lemon,lemon,gelsightA,0,0,0.8991851806640625,0.1008148118853569
000_000097_potato,potato,gelsightA,0,0,0.922450602054596,0.07754937559366226
000_000098_red_apple,red_apple,gelsightA,1,1,0.03746531158685684,0.9625346660614014
000_000099_potato,potato,gelsightA,0,0,0.8967697024345398,0.10323033481836319
000_000100_muffin,muffin,gelsightA,1,0,0.6750008463859558,0.3249991536140442
000_000101_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9887463450431824,0.011253662407398224
000_000102_potato,potato,gelsightA,0,0,0.6939007043838501,0.3060992956161499
000_000103_muffin,muffin,gelsightA,1,1,0.12152200192213058,0.8784780502319336
000_000104_red_apple,red_apple,gelsightA,0,0,0.9876937866210938,0.012306180782616138
000_000105_monster_truck,monster_truck,gelsightA,0,0,0.9636087417602539,0.036391306668519974
000_000106_muffin,muffin,gelsightA,1,1,0.27538254857063293,0.7246174812316895
000_000107_lime,lime,gelsightA,1,1,0.12620846927165985,0.873791515827179
000_000109_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9856674075126648,0.014332625083625317
000_000110_candle_in_glass,candle_in_glass,gelsightA,0,0,0.6502686738967896,0.3497312366962433
000_000112_muffin,muffin,gelsightA,1,1,0.11961952596902847,0.880380392074585
000_000113_muffin,muffin,gelsightA,0,0,0.7666894197463989,0.23331059515476227
000_000114_muffin,muffin,gelsightA,1,1,0.11617826670408249,0.8838216662406921
000_000116_lemon,lemon,gelsightA,1,1,0.08836289495229721,0.9116370677947998
000_000117_red_apple,red_apple,gelsightA,0,0,0.5079002380371094,0.49209973216056824
000_000118_lime,lime,gelsightA,0,0,0.9909147024154663,0.009085291065275669
000_000119_red_apple,red_apple,gelsightA,1,0,0.6207928657531738,0.37920713424682617
000_000120_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.8900024890899658,0.10999749600887299
000_000121_muffin,muffin,gelsightA,0,0,0.731388509273529,0.26861152052879333
000_000122_muffin,muffin,gelsightA,0,0,0.9215291738510132,0.07847080379724503
000_000123_red_apple,red_apple,gelsightA,1,1,0.3589887320995331,0.6410112380981445
000_000124_lime,lime,gelsightA,1,1,0.4584326446056366,0.541567325592041
000_000125_plastic_whale,plastic_whale,gelsightA,0,0,0.9404932260513306,0.05950674042105675
000_000127_potato,potato,gelsightA,0,0,0.9288957118988037,0.07110429555177689
000_000128_potato,potato,gelsightA,0,1,0.20324935019016266,0.7967506051063538
000_000129_lime,lime,gelsightA,1,1,0.25740739703178406,0.7425925731658936
000_000130_lemon,lemon,gelsightA,0,0,0.8743164539337158,0.12568362057209015
000_000131_lemon,lemon,gelsightA,1,1,0.005168719217181206,0.9948312640190125
000_000132_lemon,lemon,gelsightA,0,1,0.06491300463676453,0.9350870847702026
000_000133_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.8065050840377808,0.19349487125873566
000_000134_red_apple,red_apple,gelsightA,0,0,0.7712857723236084,0.22871427237987518
000_000135_monster_truck,monster_truck,gelsightA,0,0,0.9793606400489807,0.020639298483729362
000_000137_muffin,muffin,gelsightA,1,0,0.6355773210525513,0.3644227087497711
000_000138_lime,lime,gelsightA,1,0,0.5025604963302612,0.49743950366973877
000_000139_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9660688638687134,0.03393111750483513
000_000140_lemon,lemon,gelsightA,0,0,0.8423942923545837,0.15760572254657745
000_000141_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9863592982292175,0.01364072971045971
000_000142_red_apple,red_apple,gelsightA,0,0,0.9940434098243713,0.005956651642918587
000_000143_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9890861511230469,0.010913810692727566
000_000144_potato,potato,gelsightA,0,0,0.960966169834137,0.039033886045217514
000_000145_potato,potato,gelsightA,0,0,0.9838076233863831,0.01619236171245575
000_000147_webcam_box,webcam_box,gelsightA,1,1,0.0334034264087677,0.9665965437889099
000_000148_potato,potato,gelsightA,0,0,0.9838593602180481,0.016140654683113098
000_000149_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9556941390037537,0.044305913150310516
000_000150_potato,potato,gelsightA,0,0,0.9703611135482788,0.029638847336173058
000_000152_lemon,lemon,gelsightA,0,0,0.7277387976646423,0.27226120233535767
000_000153_red_apple,red_apple,gelsightA,1,1,0.17059171199798584,0.8294082880020142
000_000155_onion,onion,gelsightA,0,0,0.5337141156196594,0.4662858247756958
000_000156_lemon,lemon,gelsightA,0,0,0.6536246538162231,0.34637531638145447
000_000157_lemon,lemon,gelsightA,0,0,0.7439033389091492,0.2560967206954956
000_000158_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,1,0.4555070400238037,0.5444929599761963
000_000159_lime,lime,gelsightA,1,1,0.4993743896484375,0.5006256699562073
000_000160_red_apple,red_apple,gelsightA,1,1,0.28861451148986816,0.7113854885101318
000_000161_potato,potato,gelsightA,0,0,0.9228016138076782,0.07719834893941879
000_000162_potato,potato,gelsightA,0,0,0.9731402397155762,0.026859771460294724
000_000163_lemon,lemon,gelsightA,0,0,0.9418395757675171,0.058160450309515
000_000164_small_coffe_cup,small_coffe_cup,gelsightA,1,1,0.0038784791249781847,0.9961214661598206
000_000165_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.990044891834259,0.009955048561096191
000_000166_potato,potato,gelsightA,0,0,0.6947147250175476,0.30528524518013
000_000167_red_apple,red_apple,gelsightA,1,1,0.0181052815169096,0.9818946719169617
000_000168_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,0,0.6074078679084778,0.3925921618938446
000_000169_pig,pig,gelsightA,1,1,0.48304444551467896,0.516955554485321
000_000170_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9853095412254333,0.014690536074340343
000_000171_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.7422003149986267,0.2577996253967285
000_000172_red_apple,red_apple,gelsightA,0,1,0.17318128049373627,0.8268187046051025
000_000173_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,1,0.40074411034584045,0.5992558598518372
000_000174_red_apple,red_apple,gelsightA,0,0,0.9867962598800659,0.013203772716224194
000_000175_potato,potato,gelsightA,0,0,0.9884234070777893,0.011576609686017036
000_000177_muffin,muffin,gelsightA,0,0,0.8128083944320679,0.18719153106212616
000_000179_red_apple,red_apple,gelsightA,1,1,0.16647545993328094,0.8335245847702026
000_000180_red_apple,red_apple,gelsightA,1,1,0.03346804156899452,0.9665319323539734
000_000181_potato,potato,gelsightA,0,0,0.9878722429275513,0.012127743102610111
000_000183_international_travel_adapter,international_travel_adapter,gelsightA,1,1,0.1537857949733734,0.846214234828949
000_000184_pig,pig,gelsightA,0,0,0.564849853515625,0.4351501762866974
000_000185_muffin,muffin,gelsightA,0,1,0.47644251585006714,0.5235574841499329
000_000186_international_travel_adapter,international_travel_adapter,gelsightA,1,1,0.08114401251077652,0.9188560247421265
000_000187_lime,lime,gelsightA,1,0,0.6527864933013916,0.3472135066986084
000_000188_lime,lime,gelsightA,1,0,0.8606036305427551,0.13939633965492249
000_000189_ponds_dry_skin_cream,ponds_dry_skin_cream,gelsightA,1,1,0.022007495164871216,0.9779924750328064
000_000190_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9893760681152344,0.010623970068991184
000_000191_red_apple,red_apple,gelsightA,0,1,0.4884505271911621,0.5115495324134827
000_000192_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9681605696678162,0.031839415431022644
000_000193_lime,lime,gelsightA,0,0,0.985466718673706,0.014533257111907005
000_000194_potato,potato,gelsightA,0,0,0.6750297546386719,0.3249703049659729
000_000195_red_apple,red_apple,gelsightA,0,0,0.8836535811424255,0.11634642630815506
000_000196_lime,lime,gelsightA,1,0,0.618194043636322,0.38180598616600037
000_000197_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,1,0.17982588708400726,0.8201740980148315
000_000198_muffin,muffin,gelsightA,0,0,0.7737506628036499,0.2262493073940277
000_000199_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.7705678343772888,0.22943216562271118
000_000201_potato,potato,gelsightA,0,0,0.8954088091850281,0.10459121316671371
000_000202_red_apple,red_apple,gelsightA,0,0,0.9730379581451416,0.026962049305438995
000_000203_monster_truck,monster_truck,gelsightA,1,0,0.6044672727584839,0.39553266763687134
000_000204_muffin,muffin,gelsightA,0,1,0.43396881222724915,0.566031277179718
000_000205_lemon,lemon,gelsightA,0,0,0.8321605920791626,0.16783946752548218
000_000206_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9722131490707397,0.027786875143647194
000_000207_small_coffe_cup,small_coffe_cup,gelsightA,1,1,0.010335378348827362,0.989664614200592
000_000208_potato,potato,gelsightA,0,0,0.69301837682724,0.30698153376579285
000_000209_ponds_dry_skin_cream,ponds_dry_skin_cream,gelsightA,1,1,0.0035946941934525967,0.9964053630828857
000_000210_muffin,muffin,gelsightA,1,1,0.0728083923459053,0.9271915555000305
000_000211_red_apple,red_apple,gelsightA,0,0,0.6604259610176086,0.33957403898239136
000_000212_lime,lime,gelsightA,0,0,0.8740192651748657,0.1259807050228119
000_000213_lime,lime,gelsightA,1,0,0.565117359161377,0.43488267064094543
000_000214_onion,onion,gelsightA,0,1,0.3207748234272003,0.6792251467704773
000_000215_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,1,0.33787548542022705,0.662124514579773
000_000216_red_apple,red_apple,gelsightA,0,0,0.6623363494873047,0.3376636505126953
000_000217_webcam_box,webcam_box,gelsightA,1,1,0.05441081151366234,0.9455891847610474
000_000218_lime,lime,gelsightA,1,0,0.8076711297035217,0.19232891499996185
000_000219_muffin,muffin,gelsightA,1,1,0.3920743763446808,0.6079256534576416
000_000220_potato,potato,gelsightA,0,0,0.9221863150596619,0.07781368494033813
000_000221_muffin,muffin,gelsightA,1,1,0.08732186257839203,0.9126781225204468
000_000222_red_apple,red_apple,gelsightA,0,1,0.40608158707618713,0.5939183831214905
000_000223_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,1,0.3960047662258148,0.6039952635765076
000_000224_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.6273295283317566,0.3726704716682434
000_000225_lime,lime,gelsightA,1,0,0.6397666931152344,0.36023327708244324
000_000226_red_apple,red_apple,gelsightA,1,1,0.012594812549650669,0.9874051213264465
000_000227_lime,lime,gelsightA,0,0,0.9412502646446228,0.0587497353553772
000_000228_onion,onion,gelsightA,0,1,0.32352596521377563,0.6764740347862244
000_000230_lemon,lemon,gelsightA,0,0,0.6480405926704407,0.35195937752723694
000_000231_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9896090030670166,0.010390986688435078
000_000232_muffin,muffin,gelsightA,1,0,0.5292139649391174,0.4707860052585602
000_000233_onion,onion,gelsightA,0,0,0.9797694683074951,0.020230567082762718
000_000234_potato,potato,gelsightA,0,0,0.9714841246604919,0.028515905141830444
000_000235_red_apple,red_apple,gelsightA,0,1,0.15138937532901764,0.8486106395721436
000_000237_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.8746470808982849,0.12535294890403748
000_000238_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9072474837303162,0.09275247901678085
000_000239_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,0,0.7667914628982544,0.23320859670639038
000_000240_plastic_whale,plastic_whale,gelsightA,0,0,0.8087785840034485,0.1912214308977127
000_000241_red_apple,red_apple,gelsightA,0,0,0.6958548426628113,0.3041451573371887
000_000242_red_apple,red_apple,gelsightA,1,1,0.035176243633031845,0.9648237228393555
000_000243_lemon,lemon,gelsightA,0,0,0.9833970665931702,0.01660297065973282
000_000244_candle_in_glass,candle_in_glass,gelsightA,0,0,0.9745294451713562,0.025470539927482605
000_000245_webcam_box,webcam_box,gelsightA,0,0,0.9595451951026917,0.04045484960079193
000_000246_onion,onion,gelsightA,0,1,0.3169316351413727,0.6830683350563049
000_000247_lime,lime,gelsightA,1,0,0.5310283899307251,0.4689716398715973
000_000249_mesh_container,mesh_container,gelsightA,1,1,0.29012006521224976,0.7098798751831055
001_000000_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9382042288780212,0.061795782297849655
001_000001_potato,potato,gelsightA,0,0,0.929502546787262,0.07049745321273804
001_000002_potato,potato,gelsightA,0,0,0.7910772562026978,0.20892268419265747
001_000004_onion,onion,gelsightA,1,1,0.022867171093821526,0.9771327972412109
001_000005_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,0,0.852054238319397,0.14794568717479706
001_000006_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9884705543518066,0.011529481038451195
001_000007_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9908369779586792,0.009163083508610725
001_000008_potato,potato,gelsightA,0,1,0.28055381774902344,0.7194461226463318
001_000009_onion,onion,gelsightA,0,0,0.879308819770813,0.12069112807512283
001_000010_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,1,0.4346846044063568,0.5653154253959656
001_000011_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,1,0.1979454904794693,0.8020545244216919
001_000012_onion,onion,gelsightA,0,0,0.5216678380966187,0.47833219170570374
001_000013_lemon,lemon,gelsightA,0,0,0.9798315167427063,0.02016846463084221
001_000014_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.9850499033927917,0.014950091950595379
001_000015_muffin,muffin,gelsightA,0,0,0.8328983187675476,0.1671016812324524
001_000016_red_apple,red_apple,gelsightA,0,0,0.8276654481887817,0.1723344773054123
001_000017_red_apple,red_apple,gelsightA,1,1,0.09205164015293121,0.9079484343528748
001_000018_muffin,muffin,gelsightA,1,1,0.26672208309173584,0.7332778573036194
001_000019_potato,potato,gelsightA,1,1,0.2650286555290222,0.7349713444709778
001_000020_muffin,muffin,gelsightA,1,1,0.1455964595079422,0.8544036149978638
001_000021_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,1,1,0.3785600960254669,0.6214399337768555
001_000023_small_coffe_cup,small_coffe_cup,gelsightA,0,0,0.9326530694961548,0.06734691560268402
001_000024_dog_toy_ice_cream_cone,dog_toy_ice_cream_cone,gelsightA,0,0,0.910675585269928,0.08932438492774963
001_000025_plastic_whale,plastic_whale,gelsightA,1,1,0.3716745674610138,0.6283254027366638
001_000027_potato,potato,gelsightA,0,0,0.9853949546813965,0.014605099335312843
001_000028_mesh_container,mesh_container,gelsightA,1,1,0.29499292373657227,0.7050070762634277
001_000029_muffin,muffin,gelsightA,1,1,0.24212747812271118,0.7578725814819336
001_000030_lime,lime,gelsightA,1,0,0.6291357278823853,0.37086424231529236
